[2025-06-12 19:03:41] Score: 180, Time: 2:59, Kills: 0, Cubes: 0
[2025-06-12 19:03:51] Score: 1190, Time: 3:09, Kills: 0, Cubes: 1
[2025-06-12 19:04:01] Score: 1200, Time: 3:20, Kills: 0, Cubes: 1
[2025-06-12 19:04:11] Score: 1210, Time: 3:30, Kills: 0, Cubes: 1
[2025-06-12 19:04:21] Score: 1220, Time: 3:40, Kills: 0, Cubes: 1
[2025-06-12 19:04:31] Score: 1230, Time: 3:50, Kills: 0, Cubes: 1
[2025-06-12 19:04:41] Score: 1240, Time: 4:00, Kills: 0, Cubes: 1
[2025-06-12 19:04:51] Score: 1250, Time: 4:10, Kills: 0, Cubes: 1
[2025-06-12 19:05:01] Score: 1260, Time: 4:20, Kills: 0, Cubes: 1
[2025-06-12 19:05:11] Score: 1270, Time: 4:30, Kills: 0, Cubes: 1
[2025-06-12 19:05:21] Score: 1280, Time: 4:40, Kills: 0, Cubes: 1
[2025-06-13 10:09:50] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 10:10:00] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 10:23:44] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 10:23:54] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 10:24:11] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 10:24:21] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 10:41:12] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 10:41:22] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 10:47:57] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 10:48:07] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 10:52:49] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 10:53:18] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 10:56:14] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 11:28:13] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 11:30:42] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 11:32:02] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 11:41:45] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 11:41:55] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 17:26:53] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 17:27:25] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 17:32:34] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 17:35:28] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 17:35:38] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 18:36:58] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 18:37:17] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 18:46:47] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 18:57:50] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 18:58:22] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 19:09:04] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 19:25:25] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 20:11:50] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 20:12:00] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 20:12:35] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 20:12:45] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 20:12:55] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-13 20:27:33] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 20:27:43] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-13 20:46:22] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-13 20:46:32] Score: 19, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-14 14:18:14] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 14:18:24] Score: 19, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-14 14:18:49] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 14:45:01] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 16:24:03] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 16:43:12] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 17:04:30] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 17:52:53] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 17:53:03] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-14 18:10:17] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 19:13:54] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 19:50:57] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 20:37:42] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-14 20:37:52] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
